Actual,Predicted,Proba
0,1,0.6949501
0,1,0.52692497
0,0,0.27617264
0,0,0.28982282
1,1,0.64463955
0,0,0.20408066
0,0,0.35470784
0,0,0.20408066
0,0,0.20408066
0,1,0.52210873
0,0,0.35590047
0,0,0.3146141
0,1,0.52210873
0,0,0.20408066
0,1,0.7099699
0,1,0.52210873
0,1,0.59991735
0,0,0.28982282
1,1,0.69902855
0,1,0.52692497
1,1,0.52692497
0,1,0.52692497
0,0,0.20408066
1,1,0.69902855
0,1,0.52692497
0,0,0.34887034
0,0,0.27617264
0,0,0.35470784
1,0,0.35470784
0,0,0.22228912
1,0,0.20408066
0,1,0.52210873
0,0,0.20408066
0,0,0.35355526
0,0,0.21470279
0,1,0.6334141
0,1,0.62558985
0,0,0.20408066
0,1,0.62558985
0,0,0.28193167
0,1,0.7059773
0,1,0.6666262
0,1,0.59991735
0,0,0.35784054
0,0,0.3600591
0,0,0.4170576
0,1,0.52692497
1,0,0.20408066
0,0,0.35784054
0,1,0.52692497
0,1,0.6585014
0,1,0.66473395
0,1,0.56616604
0,0,0.35784054
1,1,0.69902855
0,1,0.56616604
1,1,0.6585014
0,1,0.6585014
0,1,0.56616604
1,1,0.62558985
0,1,0.52692497
0,0,0.27617264
0,0,0.43266815
0,1,0.5921761
0,1,0.6465849
0,1,0.52692497
0,1,0.6465849
0,0,0.41471624
0,0,0.3146141
0,0,0.35784054
0,0,0.21470279
0,0,0.21470279
0,1,0.52692497
0,0,0.21470279
0,0,0.20408066
0,1,0.6796052
0,0,0.27617264
0,1,0.64944124
0,1,0.62359613
1,1,0.62558985
0,1,0.62558985
1,1,0.6045433
0,1,0.6465849
0,0,0.36360452
1,1,0.7099699
0,1,0.62558985
1,1,0.69902855
0,0,0.27617264
0,1,0.6802374
0,0,0.35784054
1,1,0.62558985
0,1,0.56616604
0,1,0.52210873
0,0,0.35784054
0,0,0.4170576
0,1,0.52210873
0,1,0.62558985
0,1,0.52210873
1,0,0.49544108
0,1,0.52692497
1,1,0.72408783
0,0,0.4645394
0,0,0.27617264
0,0,0.43336838
0,1,0.52692497
0,1,0.7099699
0,0,0.35120133
0,1,0.62558985
0,1,0.6009692
0,0,0.27617264
1,1,0.62558985
0,1,0.52210873
0,0,0.21139269
0,0,0.20408066
0,0,0.21470279
0,0,0.28611267
0,1,0.6949501
0,0,0.20408066
0,0,0.42793414
1,0,0.27617264
0,1,0.5921761
1,1,0.6666262
0,1,0.6334141
1,1,0.52692497
0,1,0.6009692
0,0,0.35784054
0,1,0.52692497
1,1,0.6045433
0,0,0.42793414
0,0,0.20408066
0,0,0.36814806
0,0,0.35784054
0,0,0.35120133
0,1,0.62359613
0,0,0.32879466
0,0,0.20408066
1,1,0.62558985
0,0,0.21470279
0,1,0.62558985
0,1,0.7173957
1,1,0.6585014
0,0,0.35784054
0,0,0.27617264
0,0,0.27617264
0,0,0.27617264
0,1,0.56616604
0,0,0.28298688
1,1,0.6045433
0,1,0.62558985
0,1,0.52692497
1,1,0.5861449
0,1,0.56616604
0,1,0.56616604
0,0,0.20408066
0,1,0.52692497
0,0,0.27617264
1,1,0.6585014
0,0,0.4170576
1,1,0.7279292
0,0,0.20408066
0,0,0.35784054
0,0,0.2804148
1,1,0.6585014
0,0,0.27617264
0,0,0.3594279
0,0,0.4170576
1,1,0.62558985
1,1,0.6763447
1,0,0.28667277
0,1,0.62558985
0,0,0.4170576
0,0,0.20408066
0,0,0.21470279
1,1,0.7173957
0,0,0.36360452
0,0,0.4170576
0,0,0.20408066
0,0,0.20408066
1,1,0.62558985
0,0,0.35784054
1,0,0.42793414
0,0,0.3594279
0,0,0.27617264
0,1,0.69902855
1,1,0.7099699
0,0,0.21139269
0,0,0.20408066
1,0,0.28982282
0,1,0.52692497
0,0,0.33131263
0,0,0.27617264
0,0,0.35120133
0,0,0.27617264
1,1,0.52692497
0,0,0.20408066
0,0,0.35784054
1,1,0.62208533
0,0,0.35784054
0,0,0.4170576
0,0,0.20408066
0,0,0.20408066
1,1,0.6465849
1,0,0.49544108
0,0,0.20408066
0,0,0.3594279
0,0,0.20408066
0,1,0.6585014
0,0,0.20408066
0,0,0.27617264
1,1,0.62558985
0,0,0.27617264
1,1,0.52210873
0,0,0.4170576
0,0,0.32879466
1,1,0.52692497
0,0,0.35784054
0,0,0.3146141
0,1,0.62558985
0,0,0.20408066
0,0,0.20408066
0,0,0.20408066
0,0,0.20408066
0,0,0.21139269
0,1,0.6009692
0,1,0.52692497
0,0,0.20408066
0,0,0.3594279
1,1,0.6045433
0,0,0.27617264
1,1,0.6585014
1,0,0.27617264
0,0,0.27617264
0,1,0.52210873
0,0,0.35470784
0,1,0.6796052
0,1,0.52692497
0,0,0.20408066
0,0,0.20408066
0,1,0.52210873
0,0,0.35590047
0,0,0.21139269
0,0,0.36360452
0,1,0.62558985
0,0,0.27617264
1,1,0.52692497
0,0,0.20408066
0,0,0.35784054
0,1,0.52210873
0,0,0.20408066
0,0,0.20408066
1,0,0.3594279
0,1,0.6565867
0,0,0.27617264
0,1,0.6666262
1,0,0.2788337
1,1,0.6138884
0,0,0.27617264
0,1,0.6009692
0,0,0.35784054
0,0,0.20408066
1,0,0.49757484
0,1,0.6138884
0,1,0.52692497
0,1,0.6334141
0,0,0.27617264
0,0,0.27617264
0,0,0.20408066
0,0,0.21139269
1,1,0.64463955
1,1,0.62558985
0,1,0.6465849
1,1,0.52692497
0,0,0.27617264
0,1,0.52692497
0,0,0.35784054
0,1,0.62558985
0,0,0.20408066
0,1,0.7173957
0,0,0.42793414
1,0,0.35784054
0,1,0.52210873
0,1,0.6465849
0,0,0.20408066
1,1,0.52692497
0,1,0.56616604
1,1,0.62558985
1,0,0.20408066
0,0,0.21139269
0,0,0.21139269
1,0,0.3594279
0,1,0.62558985
1,1,0.7099699
0,0,0.3600591
0,0,0.42793414
0,0,0.43266815
0,0,0.43266815
0,0,0.20408066
0,0,0.20408066
0,1,0.62558985
0,0,0.20408066
0,0,0.20408066
0,0,0.28667277
0,0,0.4645394
0,1,0.6465849
0,1,0.52692497
0,1,0.52692497
0,0,0.21470279
0,0,0.42793414
0,1,0.6334141
0,1,0.62558985
0,1,0.62558985
0,1,0.62558985
0,1,0.52692497
0,0,0.42793414
0,0,0.20408066
1,0,0.20408066
0,0,0.27617264
0,0,0.35784054
0,1,0.52210873
0,0,0.20408066
0,0,0.35590047
0,0,0.28611267
0,1,0.52692497
0,0,0.20408066
0,0,0.35590047
0,0,0.47367603
0,0,0.21470279
0,1,0.52692497
0,1,0.5921761
0,0,0.28298688
0,1,0.59991735
1,0,0.35784054
1,0,0.43336838
1,1,0.52692497
0,0,0.35784054
0,0,0.35784054
0,1,0.62558985
0,0,0.21139269
0,0,0.20408066
0,0,0.35470784
0,1,0.6045433
0,1,0.52692497
0,0,0.3594279
0,1,0.7099699
1,1,0.7099699
0,0,0.20408066
0,0,0.22228912
0,0,0.20408066
0,0,0.20408066
0,0,0.20408066
0,0,0.35590047
1,1,0.6045433
0,1,0.56616604
0,1,0.61550456
1,1,0.6045433
0,1,0.62558985
0,0,0.27617264
0,0,0.33131263
1,1,0.52692497
0,0,0.35784054
0,0,0.21470279
0,0,0.28193167
0,0,0.35784054
0,0,0.28982282
1,1,0.6782032
0,0,0.3594279
0,0,0.27617264
0,0,0.45973924
0,0,0.35784054
1,1,0.52692497
0,1,0.69902855
0,1,0.52210873
0,0,0.27617264
0,1,0.6045433
0,0,0.21139269
0,0,0.20408066
0,0,0.42793414
1,0,0.35784054
0,1,0.5743872
0,0,0.36360452
0,0,0.35784054
0,1,0.52692497
0,0,0.28982282
0,0,0.49274743
0,0,0.20408066
0,0,0.35784054
0,0,0.35784054
0,0,0.35784054
0,0,0.3594279
0,1,0.6585014
0,1,0.52692497
0,0,0.20408066
0,0,0.42793414
0,1,0.52692497
0,0,0.36360452
0,0,0.27617264
1,1,0.66473395
1,1,0.56616604
0,1,0.52210873
0,0,0.35784054
0,0,0.20408066
0,1,0.56616604
0,1,0.6585014
0,1,0.6613118
0,0,0.35120133
0,1,0.62558985
0,0,0.42793414
0,1,0.56616604
0,0,0.42793414
0,0,0.3594279
0,0,0.35784054
0,0,0.3594279
0,1,0.6465849
0,0,0.42793414
0,0,0.3594279
0,1,0.6585014
0,1,0.62558985
0,0,0.35784054
0,0,0.42793414
0,1,0.6045433
0,0,0.21470279
0,0,0.42793414
1,1,0.52692497
0,1,0.62558985
0,1,0.62558985
0,0,0.27617264
0,0,0.28611267
0,0,0.35886037
0,0,0.20408066
0,0,0.35470784
1,1,0.7099699
0,0,0.43336838
0,0,0.20408066
1,0,0.43336838
0,0,0.20408066
0,0,0.20408066
0,0,0.27617264
0,0,0.35784054
0,0,0.35590047
0,0,0.22228912
1,1,0.6585014
1,1,0.6585014
0,0,0.35784054
0,0,0.22228912
0,1,0.62558985
0,0,0.3594279
0,0,0.35784054
1,1,0.66473395
0,1,0.6753857
0,0,0.35590047
0,0,0.20408066
0,1,0.6465849
1,1,0.66869783
0,0,0.20408066
1,1,0.7099699
0,0,0.20408066
0,0,0.35784054
1,0,0.3594279
0,0,0.2778215
0,0,0.4170576
0,1,0.6009692
0,0,0.21470279
0,0,0.36814806
0,1,0.52692497
0,1,0.62558985
0,0,0.42793414
0,0,0.27617264
0,0,0.21139269
1,0,0.35299188
0,1,0.6585014
0,1,0.6796052
0,0,0.20408066
0,1,0.62558985
1,1,0.62208533
1,1,0.56616604
0,0,0.20408066
0,0,0.4170576
0,1,0.6465849
0,0,0.27617264
1,1,0.59991735
0,0,0.35590047
1,1,0.7059773
0,0,0.20408066
0,1,0.52210873
1,1,0.69902855
0,0,0.28611267
0,0,0.21470279
0,0,0.42793414
1,1,0.6585014
0,0,0.42793414
0,0,0.20408066
0,0,0.27617264
1,1,0.61550456
1,1,0.62558985
1,0,0.3594279
0,1,0.62558985
0,1,0.52692497
0,0,0.20408066
0,1,0.69902855
0,0,0.20408066
0,0,0.35784054
0,1,0.62558985
0,0,0.27617264
0,0,0.20408066
0,0,0.43266815
0,0,0.20408066
1,1,0.52692497
1,1,0.59991735
1,1,0.7099699
0,0,0.35784054
0,0,0.20408066
0,0,0.42793414
0,0,0.35355526
0,1,0.52692497
0,1,0.6465849
0,1,0.7059773
0,0,0.21139269
0,0,0.20408066
1,1,0.62558985
0,1,0.52692497
0,0,0.20408066
0,0,0.36814806
0,0,0.35784054
0,0,0.20408066
0,0,0.21139269
0,0,0.35784054
0,1,0.56616604
0,0,0.35784054
0,0,0.21470279
0,1,0.56616604
0,0,0.35784054
0,0,0.20408066
0,1,0.62558985
0,0,0.4645394
0,0,0.35784054
0,0,0.28611267
0,0,0.20408066
0,0,0.20408066
1,1,0.52210873
0,0,0.49544108
0,0,0.35784054
1,1,0.69902855
1,0,0.3146141
0,0,0.3594279
0,0,0.28611267
0,0,0.35784054
0,0,0.35784054
0,0,0.27617264
0,0,0.42793414
0,0,0.20408066
0,0,0.27617264
0,1,0.58830035
0,0,0.27617264
1,1,0.6565867
0,0,0.20408066
0,0,0.42793414
0,0,0.22228912
0,1,0.52692497
1,0,0.3594279
0,1,0.58830035
0,0,0.35784054
0,0,0.20408066
0,0,0.2809126
0,0,0.3594279
0,0,0.27617264
0,0,0.27617264
0,0,0.35784054
0,0,0.35590047
1,1,0.66869783
0,0,0.20408066
0,0,0.20408066
0,1,0.62558985
0,0,0.27617264
0,1,0.62558985
0,0,0.20408066
0,0,0.35784054
0,0,0.27617264
0,1,0.62558985
0,0,0.35355526
0,0,0.35784054
0,0,0.35784054
0,0,0.35590047
0,0,0.27617264
0,0,0.27617264
0,0,0.27617264
0,0,0.27617264
0,0,0.27617264
0,1,0.52210873
0,1,0.6314375
0,1,0.62558985
1,1,0.52692497
1,0,0.3594279
0,1,0.52210873
0,0,0.3594279
0,0,0.20408066
0,1,0.52692497
0,1,0.56616604
1,1,0.6045433
0,0,0.20408066
1,1,0.64463955
0,1,0.56616604
0,0,0.20408066
0,0,0.20408066
0,0,0.27617264
0,0,0.27617264
0,1,0.6009692
0,0,0.35784054
0,0,0.28611267
0,1,0.62558985
1,1,0.66869783
0,1,0.62558985
0,0,0.20408066
0,0,0.27617264
0,1,0.58830035
0,0,0.32879466
0,0,0.4170576
0,0,0.42793414
0,0,0.27617264
1,1,0.52210873
0,0,0.20408066
0,1,0.56616604
1,0,0.47636336
0,0,0.20408066
0,1,0.62558985
0,0,0.27617264
1,1,0.6585014
1,0,0.20408066
0,0,0.20408066
0,1,0.7059773
0,0,0.20408066
0,0,0.27617264
0,0,0.2804148
0,1,0.52210873
1,1,0.64830184
0,0,0.21139269
0,1,0.6949501
0,1,0.69902855
0,0,0.43266815
0,1,0.52210873
0,0,0.35590047
0,1,0.6009692
0,0,0.4170576
0,1,0.52692497
0,1,0.56616604
0,0,0.27617264
0,0,0.43266815
1,1,0.6782032
0,1,0.52210873
0,0,0.42793414
0,1,0.56616604
1,1,0.7099699
0,1,0.56616604
0,1,0.56616604
1,1,0.7099699
0,0,0.2824868
0,0,0.42793414
0,0,0.27617264
0,1,0.66473395
0,0,0.35784054
0,0,0.27617264
0,1,0.62558985
0,1,0.62558985
0,0,0.20408066
0,1,0.62558985
0,1,0.52692497
0,0,0.42793414
0,0,0.21139269
0,0,0.22228912
0,0,0.20408066
1,1,0.68686557
0,0,0.42793414
0,1,0.56616604
0,1,0.6009692
0,0,0.21139269
0,0,0.21470279
0,0,0.35784054
0,0,0.20408066
1,1,0.6796052
0,1,0.6465849
0,0,0.43266815
1,1,0.7099699
0,0,0.4645394
0,0,0.35784054
0,0,0.3594279
0,0,0.35784054
0,0,0.32879466
0,0,0.3594279
0,0,0.27617264
0,0,0.35784054
0,0,0.35590047
0,0,0.27617264
0,0,0.3594279
0,1,0.59133005
0,1,0.52210873
0,0,0.35784054
0,0,0.41471624
0,0,0.35590047
0,0,0.20408066
0,0,0.20408066
0,1,0.56616604
1,0,0.36360452
1,0,0.27677813
1,1,0.62558985
0,0,0.3594279
0,1,0.62558985
1,1,0.6753857
0,1,0.52692497
1,1,0.69902855
0,1,0.52692497
0,1,0.56616604
0,1,0.6753857
1,0,0.4645394
1,0,0.3600591
0,1,0.52210873
1,1,0.6045433
1,0,0.27617264
0,0,0.20408066
0,0,0.27617264
0,0,0.27617264
0,0,0.21470279
0,0,0.21470279
0,1,0.52210873
0,1,0.52210873
0,0,0.20408066
1,1,0.52692497
0,0,0.20408066
0,0,0.3594279
0,1,0.52210873
0,0,0.42793414
0,0,0.35784054
0,0,0.35784054
0,0,0.20408066
1,1,0.6782032
0,0,0.27617264
1,1,0.62558985
0,0,0.28982282
0,0,0.20408066
1,1,0.6334141
0,0,0.33131263
0,0,0.34887034
0,0,0.35590047
1,0,0.27617264
0,0,0.32879466
0,0,0.21139269
1,1,0.6045433
1,1,0.52692497
1,1,0.52692497
1,1,0.62558985
0,0,0.27617264
0,0,0.47636336
1,1,0.58830035
0,1,0.52692497
0,0,0.21139269
1,1,0.7099699
0,0,0.27617264
0,0,0.20408066
0,0,0.32879466
0,0,0.20408066
0,0,0.36360452
0,0,0.4170576
1,1,0.6465849
0,0,0.21139269
0,0,0.20408066
0,0,0.3594279
0,1,0.56616604
0,1,0.6753857
0,0,0.35590047
0,1,0.52210873
0,0,0.27617264
0,0,0.2824868
0,0,0.3594279
0,1,0.52692497
0,0,0.35784054
0,0,0.20408066
1,1,0.6045433
0,1,0.52210873
0,0,0.3594279
0,0,0.32879466
0,1,0.64944124
0,0,0.35784054
0,1,0.52692497
1,1,0.62558985
0,0,0.3594279
1,1,0.56616604
0,1,0.61550456
0,0,0.35784054
0,0,0.43266815
0,1,0.56616604
0,1,0.6585014
0,0,0.20408066
0,1,0.52210873
0,0,0.27617264
0,0,0.3594279
0,0,0.27617264
0,0,0.35784054
0,1,0.52210873
0,0,0.20408066
0,0,0.20408066
0,0,0.22228912
0,0,0.20408066
1,0,0.28193167
0,0,0.37265155
0,0,0.20408066
0,0,0.22228912
1,1,0.69902855
0,0,0.35005394
0,0,0.3594279
0,0,0.41471624
1,1,0.6763447
0,0,0.36360452
1,1,0.6949501
0,0,0.4645394
0,0,0.32879466
0,1,0.7099699
0,0,0.35784054
0,0,0.27677813
0,0,0.20408066
0,0,0.42793414
0,1,0.6465849
0,0,0.20408066
1,1,0.7099699
0,0,0.20408066
0,0,0.35784054
1,1,0.52210873
0,0,0.20408066
1,1,0.62558985
0,1,0.6585014
0,0,0.20408066
1,0,0.27617264
0,1,0.6585014
0,0,0.21470279
0,0,0.3594279
0,0,0.20408066
1,1,0.7099699
0,1,0.59133005
0,0,0.35784054
0,0,0.27617264
0,0,0.21470279
0,0,0.27617264
0,0,0.21470279
0,0,0.35784054
0,0,0.35770178
0,0,0.3594279
1,1,0.6644057
0,1,0.55561703
1,1,0.62558985
0,1,0.6949501
0,0,0.27617264
1,1,0.6045433
0,0,0.35784054
0,1,0.52210873
0,0,0.35590047
0,1,0.56616604
1,1,0.7279292
0,0,0.35784054
1,1,0.59991735
0,1,0.56616604
0,0,0.27617264
0,1,0.6585014
0,1,0.62558985
1,1,0.6585014
0,1,0.61550456
0,0,0.35784054
0,0,0.27617264
0,0,0.35470784
0,0,0.28193167
1,1,0.62558985
1,0,0.35784054
0,0,0.35784054
0,0,0.20408066
0,1,0.6565867
0,1,0.52692497
0,0,0.21470279
0,1,0.52692497
0,1,0.62558985
0,1,0.52210873
0,1,0.62558985
0,0,0.35470784
0,0,0.27617264
1,1,0.52692497
0,0,0.3594279
0,1,0.7099699
0,0,0.42793414
1,1,0.62558985
0,0,0.35590047
1,1,0.59991735
0,1,0.62558985
1,1,0.62558985
0,1,0.56616604
0,1,0.62558985
0,1,0.6585014
1,1,0.62558985
1,1,0.7099699
0,1,0.56616604
0,1,0.7099699
0,0,0.20408066
0,1,0.52692497
0,1,0.55561703
0,1,0.52692497
0,0,0.28667277
0,1,0.64020336
0,1,0.55561703
0,1,0.56616604
0,1,0.52692497
0,1,0.6565867
1,1,0.52692497
0,1,0.62558985
0,1,0.7099699
0,0,0.35784054
0,0,0.28611267
0,0,0.35470784
0,0,0.20408066
1,1,0.6796052
0,0,0.20408066
0,0,0.32879466
0,0,0.2804148
0,1,0.56616604
0,1,0.56616604
1,1,0.69902855
0,1,0.62558985
0,0,0.35590047
0,0,0.36360452
0,0,0.20408066
0,0,0.27617264
1,1,0.61550456
0,0,0.3146141
0,0,0.20408066
0,0,0.3594279
0,1,0.52210873
1,0,0.43266815
0,0,0.20408066
0,1,0.52692497
0,0,0.3594279
0,0,0.43336838
0,0,0.42793414
0,1,0.6585014
0,1,0.6465849
0,0,0.32879466
1,1,0.62558985
0,1,0.62558985
0,0,0.35784054
0,0,0.20408066
1,1,0.6585014
0,0,0.20408066
1,1,0.6009692
0,1,0.69902855
0,0,0.36360452
0,0,0.27617264
0,0,0.20408066
0,1,0.64020336
0,0,0.36360452
0,0,0.35784054
0,1,0.7173957
0,1,0.6465849
0,0,0.4170576
0,0,0.27617264
1,1,0.6585014
0,0,0.3594279
0,1,0.52692497
0,1,0.56616604
0,0,0.27617264
0,1,0.52692497
1,1,0.52692497
0,0,0.27617264
0,1,0.52692497
0,0,0.35120133
1,1,0.52692497
0,1,0.52692497
0,1,0.62558985
0,0,0.20408066
0,1,0.59991735
1,1,0.6585014
0,0,0.35784054
0,1,0.52210873
0,0,0.4170576
0,0,0.2809126
0,1,0.62558985
0,0,0.27617264
0,0,0.27617264
1,1,0.6009692
0,0,0.27617264
0,0,0.27617264
0,1,0.52210873
0,0,0.3741266
0,0,0.2778215
0,0,0.35784054
0,0,0.41471624
0,0,0.27617264
0,0,0.32879466
1,1,0.52210873
1,1,0.56616604
0,1,0.52692497
0,1,0.62558985
0,0,0.3594279
1,1,0.6465849
1,1,0.52692497
0,1,0.62558985
0,1,0.62558985
0,0,0.35590047
0,0,0.4170576
0,1,0.52210873
1,1,0.6045433
0,0,0.20408066
0,0,0.35590047
0,1,0.62558985
0,0,0.20408066
0,0,0.35355526
0,0,0.20408066
0,0,0.27617264
0,0,0.20408066
0,0,0.42793414
0,1,0.52692497
0,1,0.6009692
0,1,0.52210873
1,0,0.28611267
0,0,0.20408066
0,0,0.35784054
0,0,0.35784054
0,0,0.21470279
0,0,0.20408066
0,0,0.35470784
1,1,0.6465849
0,1,0.62558985
0,0,0.36360452
0,1,0.62558985
0,0,0.20408066
0,1,0.62359613
0,0,0.27617264
0,0,0.20408066
0,0,0.3594279
0,0,0.22228912
0,0,0.45973924
0,0,0.21470279
0,0,0.27617264
0,0,0.28611267
0,0,0.42793414
1,0,0.35886037
0,1,0.7279292
0,0,0.2778215
1,1,0.6796052
0,1,0.52692497
0,0,0.20408066
0,1,0.6949501
0,0,0.3594279
0,0,0.27617264
0,0,0.20408066
0,1,0.56616604
0,1,0.6190526
0,1,0.62558985
1,1,0.62558985
0,0,0.41471624
0,0,0.20408066
0,0,0.3594279
0,0,0.35590047
0,1,0.59991735
0,0,0.21139269
0,0,0.28611267
0,0,0.35784054
0,1,0.62558985
0,0,0.34949312
0,0,0.3541819
0,0,0.28611267
0,0,0.2809126
0,0,0.35784054
0,0,0.35784054
1,1,0.7099699
0,0,0.35784054
0,0,0.43266815
0,1,0.52210873
0,0,0.35784054
0,0,0.3146141
0,1,0.6753857
0,1,0.56616604
0,0,0.35784054
0,1,0.52210873
0,0,0.27617264
0,0,0.3594279
0,1,0.62558985
0,0,0.35470784
0,0,0.20408066
0,0,0.27617264
0,0,0.20408066
0,0,0.35784054
0,0,0.35784054
0,0,0.35784054
0,1,0.52692497
0,0,0.21139269
1,1,0.7059773
1,0,0.27617264
0,0,0.20408066
0,0,0.35470784
0,0,0.28982282
0,0,0.35784054
0,0,0.35784054
0,0,0.20408066
1,1,0.7279292
0,0,0.27617264
0,0,0.20408066
0,0,0.20408066
0,0,0.43336838
0,0,0.35784054
0,0,0.35784054
0,0,0.3594279
0,0,0.27617264
0,1,0.52210873
0,0,0.20408066
0,0,0.20408066
0,0,0.35784054
0,0,0.28298688
0,0,0.36360452
0,0,0.27617264
0,1,0.52692497
0,0,0.27617264
1,0,0.22228912
1,1,0.64830184
0,0,0.20408066
0,0,0.35784054
0,0,0.20408066
0,1,0.56616604
0,1,0.52692497
0,0,0.21139269
0,1,0.62558985
0,0,0.35355526
1,1,0.7099699
0,0,0.27617264
0,1,0.52210873
1,1,0.52692497
1,1,0.52692497
0,1,0.62558985
0,0,0.20408066
1,1,0.6465849
0,1,0.52692497
0,1,0.62558985
0,0,0.20408066
0,0,0.35784054
0,0,0.35886037
0,1,0.6585014
0,0,0.34887034
0,0,0.35784054
1,1,0.56616604
0,1,0.6009692
0,1,0.52692497
0,0,0.20408066
0,0,0.27617264
0,1,0.62558985
0,1,0.64463955
0,0,0.20408066
0,0,0.20408066
0,0,0.27617264
0,0,0.3146141
0,0,0.35590047
1,0,0.3594279
0,1,0.52692497
0,1,0.52210873
0,0,0.20408066
0,0,0.35784054
0,0,0.20408066
0,0,0.27617264
0,0,0.20408066
0,0,0.20408066
0,1,0.52210873
0,0,0.42793414
0,0,0.35784054
0,0,0.43266815
0,0,0.20408066
0,0,0.3594279
0,0,0.21139269
0,1,0.56616604
0,0,0.21470279
0,0,0.20408066
0,0,0.21470279
0,0,0.21139269
0,0,0.3600591
0,1,0.6190526
0,0,0.35784054
1,0,0.4645394
0,0,0.35784054
0,1,0.62558985
1,1,0.62558985
0,1,0.52692497
1,1,0.6465849
0,1,0.62558985
1,1,0.56616604
0,0,0.20408066
0,1,0.52692497
1,1,0.6585014
0,0,0.27617264
0,1,0.52692497
0,0,0.35784054
0,1,0.7059773
1,1,0.62558985
0,0,0.35784054
0,1,0.56616604
0,0,0.20408066
0,0,0.20408066
0,0,0.42793414
0,0,0.32879466
0,1,0.6190526
0,0,0.20408066
0,0,0.27617264
0,0,0.20408066
0,0,0.27617264
0,1,0.64463955
0,1,0.52692497
1,1,0.6796052
1,1,0.6045433
0,0,0.3594279
0,0,0.27677813
0,0,0.3594279
0,1,0.52210873
0,0,0.28982282
0,1,0.52692497
0,1,0.5743872
0,0,0.42793414
1,1,0.62558985
0,0,0.35784054
0,1,0.62558985
1,1,0.52210873
0,0,0.21139269
1,1,0.62558985
0,0,0.32879466
0,0,0.35355526
0,0,0.22228912
0,0,0.42793414
0,0,0.22228912
0,0,0.21470279
0,0,0.27617264
0,1,0.52692497
0,0,0.20408066
0,0,0.35784054
0,1,0.69902855
0,0,0.35299188
0,0,0.20408066
0,0,0.20408066
0,0,0.27617264
1,1,0.6585014
0,0,0.3594279
0,0,0.36360452
0,0,0.27617264
0,0,0.20408066
0,0,0.20408066
0,0,0.2845822
0,0,0.20408066
0,0,0.28611267
0,1,0.59991735
1,1,0.58830035
0,0,0.27617264
0,0,0.35533535
0,0,0.35784054
0,0,0.20408066
0,0,0.35784054
1,1,0.52210873
0,0,0.4645394
0,0,0.20408066
0,0,0.27617264
0,0,0.35784054
0,1,0.52692497
0,1,0.62558985
0,0,0.20408066
0,1,0.62558985
0,0,0.42793414
0,0,0.27617264
0,1,0.56616604
0,1,0.7099699
0,0,0.35784054
0,0,0.28193167
0,0,0.35784054
0,1,0.64463955
0,0,0.22228912
0,1,0.52692497
1,1,0.6613118
0,0,0.20408066
0,1,0.56616604
0,1,0.58830035
0,0,0.20408066
0,0,0.20408066
1,1,0.62558985
0,1,0.52692497
0,0,0.27617264
1,1,0.62558985
0,0,0.3594279
1,1,0.56616604
0,0,0.21139269
0,1,0.6045433
0,0,0.27617264
0,0,0.35784054
0,1,0.69902855
0,1,0.52692497
0,1,0.62558985
0,0,0.20408066
0,1,0.52692497
0,0,0.42793414
0,1,0.52692497
0,0,0.28611267
0,1,0.6465849
0,1,0.62558985
1,1,0.70165664
0,1,0.52692497
0,0,0.3594279
0,0,0.35784054
0,0,0.27617264
0,0,0.20408066
0,0,0.27617264
0,0,0.43266815
0,0,0.27617264
0,0,0.35784054
1,1,0.6565867
0,1,0.6585014
1,0,0.20408066
0,0,0.35784054
0,1,0.52692497
1,1,0.71254164
0,0,0.20408066
1,1,0.6585014
1,1,0.6666262
0,0,0.43336838
0,0,0.35784054
1,1,0.58830035
0,0,0.20408066
0,1,0.7099699
0,0,0.35470784
0,0,0.20408066
0,1,0.62558985
0,0,0.20408066
0,0,0.3594279
0,0,0.42793414
1,1,0.52692497
1,0,0.28611267
0,0,0.21470279
0,0,0.20408066
0,0,0.37265155
0,0,0.4170576
1,1,0.62558985
0,1,0.5921761
0,0,0.35590047
0,1,0.52692497
0,1,0.62558985
0,1,0.56616604
0,1,0.62558985
1,1,0.62558985
0,0,0.35784054
1,0,0.3594279
1,1,0.6465849
1,0,0.36360452
1,1,0.6465849
1,1,0.6585014
0,0,0.20408066
0,0,0.27617264
0,0,0.35784054
0,0,0.35784054
0,0,0.20408066
0,0,0.20408066
1,1,0.6465849
0,1,0.62558985
0,1,0.52692497
0,0,0.4170576
0,0,0.32879466
0,1,0.52210873
0,0,0.35784054
0,1,0.7099699
0,0,0.20408066
1,0,0.4170576
1,0,0.36360452
0,1,0.52692497
0,1,0.6666262
1,1,0.7099699
0,1,0.6045433
0,0,0.27617264
0,0,0.35784054
0,0,0.35784054
0,1,0.52210873
0,0,0.20408066
0,0,0.4645394
0,0,0.4170576
0,0,0.3146141
0,1,0.52692497
0,0,0.27617264
0,0,0.20408066
1,1,0.7173957
0,1,0.52692497
1,0,0.3541819
0,1,0.52210873
0,1,0.62558985
0,0,0.42793414
0,0,0.27617264
0,0,0.3594279
0,1,0.56616604
1,0,0.49544108
0,0,0.43266815
0,1,0.6190526
0,1,0.62558985
0,0,0.35784054
0,1,0.62558985
0,1,0.6190526
0,1,0.6465849
0,1,0.69902855
0,0,0.35784054
0,1,0.56616604
